id	name	description	url	type
ART-RIEKSTINS-1928	Jānis Riekstiņš	Latvian; painter; 1928–1982	https://arsaccordia.com/artists/ART-RIEKSTINS-1928.html	Q5
ART-RIKMANIS-1901	Jānis Rikmanis	Latvian; painter; 1901–1968	https://arsaccordia.com/artists/ART-RIKMANIS-1901.html	Q5
ART-ROZENS-1864	Kārlis Rozens	Latvian; painter; 1864–1934	https://arsaccordia.com/artists/ART-ROZENS-1864.html	Q5
ART-ROZENTALS-1866	Janis Rozentāls	Latvian; painter; 1866–1916	https://arsaccordia.com/artists/ART-ROZENTALS-1866.html	Q5
ART-ROZLAPA-1932	Dailis Rožlapa	Latvian; painter; 1932–2014	https://arsaccordia.com/artists/ART-ROZLAPA-1932.html	Q5
ART-RUNGIS-1893	Pēteris Ruņģis	Latvian; painter; 1893–1967	https://arsaccordia.com/artists/ART-RUNGIS-1893.html	Q5
ART-SALDAVS-1907	Oļģerts Saldavs	Latvian; painter; 1907–1960	https://arsaccordia.com/artists/ART-SALDAVS-1907.html	Q5
ART-SEGELMANS-1933	Semjons Šegelmans	Latvian; painter; 1933–2025	https://arsaccordia.com/artists/ART-SEGELMANS-1933.html	Q5
ART-SILINS-1926	Herberts Siliņš	Latvian; painter; 1926–2001	https://arsaccordia.com/artists/ART-SILINS-1926.html	Q5
ART-SIPANS-1913	Bruno Sipāns	Latvian; painter; 1913–1973	https://arsaccordia.com/artists/ART-SIPANS-1913.html	Q5
ART-SKRIDE-1906	Ārijs Skride	Latvian; painter; 1906–1987	https://arsaccordia.com/artists/ART-SKRIDE-1906.html	Q5
ART-SKUCS-1908	Jānis Skučs	Latvian; painter; 1908–1998	https://arsaccordia.com/artists/ART-SKUCS-1908.html	Q5
ART-SKULME-1889	Oto Skulme	Latvian; painter; 1889–1967	https://arsaccordia.com/artists/ART-SKULME-1889.html	Q5
ART-SKULME-1895	Uga Skulme	Latvian; painter; 1895–1963	https://arsaccordia.com/artists/ART-SKULME-1895.html	Q5
ART-SKULME-1925	Džemma Skulme	Latvian; painter; 1925–2019	https://arsaccordia.com/artists/ART-SKULME-1925.html	Q5
ART-SKULME-1928	Jurģis Skulme	Latvian; painter; 1928–2015	https://arsaccordia.com/artists/ART-SKULME-1928.html	Q5
ART-SPALVINS-1911	Arnolds Spalviņš	Latvian; painter; 1911–1948	https://arsaccordia.com/artists/ART-SPALVINS-1911.html	Q5
ART-SPRENKS-1898	Pauls Šprenks	Latvian; painter; 1898–1988	https://arsaccordia.com/artists/ART-SPRENKS-1898.html	Q5
ART-SPRINGIS-1907	Jēkabs Spriņģis	Latvian; painter; 1907–2004	https://arsaccordia.com/artists/ART-SPRINGIS-1907.html	Q5
ART-STEINERTE-1942	Rūta Šteinerte	Latvian; painter; 1942–2003	https://arsaccordia.com/artists/ART-STEINERTE-1942.html	Q5
ART-STRALS-1879	Aleksandrs Štrāls	Latvian; painter; 1879–1947	https://arsaccordia.com/artists/ART-STRALS-1879.html	Q5
ART-STRAUJA-1907	Arvīds Strauja	Latvian; painter; 1907–1999	https://arsaccordia.com/artists/ART-STRAUJA-1907.html	Q5
