id	name	desc	url	q
AP-2026-000190	Florencietis ziemā	painting, by Niklāvs Strunke, 1929	https://arsaccordia.com/AP-2026-000190.html	140400016
AP-2026-000191	Mūri	painting, by Ludolfs Liberts, c. 1921	https://arsaccordia.com/AP-2026-000191.html	140400031
AP-2026-000192	Sieviete sarkanā	painting, by Ludolfs Liberts, 1923	https://arsaccordia.com/AP-2026-000192.html	140400034
AP-2026-000193	Klusā daba	painting, by Ludolfs Liberts, 1922	https://arsaccordia.com/AP-2026-000193.html	140400032
AP-2026-000194	Sievietes ceļā	painting, by Ludolfs Liberts, c. 1922	https://arsaccordia.com/AP-2026-000194.html	140400033
AP-2026-000195	Mākslinieka N. portrets	painting, by Ludolfs Liberts, 1923	https://arsaccordia.com/AP-2026-000195.html	140400037
AP-2026-000196	Pie spoguļa	painting, by Ģederts Eliass, c. 1918	https://arsaccordia.com/AP-2026-000196.html	140400154
AP-2026-000197	Sieviete ar vēdekli bārā	painting, by Ģederts Eliass, c. 1918	https://arsaccordia.com/AP-2026-000197.html	140400155
AP-2026-000198	Sēdoša sieviete	painting, by Ģederts Eliass, c. 1923	https://arsaccordia.com/AP-2026-000198.html	140400156
AP-2026-000199	Klusā daba ar augļiem	painting, by Ģederts Eliass, c. 1918	https://arsaccordia.com/AP-2026-000199.html	140400157
AP-2026-000200	Sieviete	painting, by Jānis Siliņš, 1921	https://arsaccordia.com/AP-2026-000200.html	140400174
AP-2026-000201	Tējnīcā	painting, by Jānis Plase, c. 1929	https://arsaccordia.com/AP-2026-000201.html	140400175
AP-2026-000202	Ceļā uz rožaino pasaku pili	painting, by Voldemārs Matvejs, c. 1911	https://arsaccordia.com/AP-2026-000202.html	140400173
